at,timestamp,hr,rr,act
2016-08-05 19:43,1470419007,47,20.2,53
2016-08-05 19:43,1470419009,46,20.2,48
2016-08-05 19:43,1470419011,46,20.2,76
2016-08-05 19:43,1470419013,46,20.2,33
2016-08-05 19:43,1470419015,45,20.2,59
2016-08-05 19:43,1470419017,46,20.2,36
2016-08-05 19:43,1470419019,46,20.5,52
2016-08-05 19:43,1470419021,46,20.7,62
2016-08-05 19:43,1470419023,50,20.8,50
2016-08-05 19:43,1470419025,60,21,29
2016-08-05 19:43,1470419027,74,21.1,57
2016-08-05 19:43,1470419029,82,21,52
2016-08-05 19:43,1470419031,82,20.7,26
2016-08-05 19:43,1470419033,83,20.6,44
2016-08-05 19:43,1470419035,84,20.3,64
2016-08-05 19:43,1470419037,85,20.3,49
2016-08-05 19:43,1470419039,85,20.3,43
2016-08-05 19:44,1470419041,85,20.3,48
2016-08-05 19:44,1470419043,85,20.3,48
2016-08-05 19:44,1470419045,86,20.5,51
2016-08-05 19:44,1470419047,86,20.6,51
2016-08-05 19:44,1470419049,86,20.7,59
2016-08-05 19:44,1470419051,85,20.7,26
2016-08-05 19:44,1470419053,86,20.7,59
2016-08-05 19:44,1470419055,86,20.7,38
2016-08-05 19:44,1470419057,86,20.7,60
2016-08-05 19:44,1470419059,86,20.7,48
2016-08-05 19:44,1470419061,86,20.7,36
2016-08-05 19:44,1470419063,86,20.7,51
2016-08-05 19:44,1470419065,87,20.7,59
2016-08-05 19:44,1470419067,87,20.6,46
2016-08-05 19:44,1470419069,88,20.5,54
2016-08-05 19:44,1470419071,89,20.3,58
2016-08-05 19:44,1470419073,89,20.2,59
2016-08-05 19:44,1470419075,89,20.2,64
2016-08-05 19:44,1470419077,89,20.2,61
2016-08-05 19:44,1470419079,88,20.2,55
2016-08-05 19:44,1470419081,86,20.5,28
2016-08-05 19:44,1470419083,85,20.6,66
2016-08-05 19:44,1470419085,85,20.8,73
2016-08-05 19:44,1470419087,84,21.2,73
2016-08-05 19:44,1470419089,79,21.8,93
2016-08-05 19:44,1470419091,71,22.5,37
2016-08-05 19:44,1470419093,63,23.1,52
2016-08-05 19:44,1470419095,55,23.7,48
2016-08-05 19:44,1470419097,48,23.7,54
2016-08-05 19:44,1470419099,48,23.8,58
2016-08-05 19:45,1470419101,57,24,76
2016-08-05 19:45,1470419103,70,24,42
2016-08-05 19:45,1470419105,79,23.8,62
2016-08-05 19:45,1470419107,79,23.8,62
2016-08-05 19:45,1470419109,79,23.8,39
2016-08-05 19:45,1470419111,79,23.8,41
2016-08-05 19:45,1470419113,79,24.1,71
2016-08-05 19:45,1470419115,81,24.2,50
2016-08-05 19:45,1470419117,81,24.2,72
2016-08-05 19:45,1470419119,82,24.2,32
2016-08-05 19:45,1470419121,83,24.2,53
2016-08-05 19:45,1470419123,81,24,69
2016-08-05 19:45,1470419125,74,23.7,63
2016-08-05 19:45,1470419127,67,23.7,70
2016-08-05 19:45,1470419129,63,23.6,28
2016-08-05 19:45,1470419131,55,23.6,61
2016-08-05 19:45,1470419133,48,23.5,255
2016-08-05 19:45,1470419135,49,23.3,528
2016-08-05 19:45,1470419137,49,23.3,400
2016-08-05 19:45,1470419139,50,23.3,1032
2016-08-05 19:45,1470419141,53,23.3,434
2016-08-05 19:45,1470419143,64,23.3,91
2016-08-05 19:45,1470419145,78,23.3,83
2016-08-05 19:45,1470419147,85,23.3,61
2016-08-05 19:45,1470419149,85,23.3,71
2016-08-05 19:45,1470419151,85,23.3,55
2016-08-05 19:45,1470419153,85,23.3,76
2016-08-05 19:45,1470419155,85,23.3,51
2016-08-05 19:45,1470419157,81,23.3,86
2016-08-05 19:45,1470419159,71,23.3,80
2016-08-05 19:46,1470419161,57,23.1,56
2016-08-05 19:46,1470419163,50,22.7,46
2016-08-05 19:46,1470419165,51,22.7,51
2016-08-05 19:46,1470419167,51,22.7,60
